Model,Performance
AMD Phenom II X6 1100T,3882
Intel Pentium Gold G6500T @ 3.50GHz,3874
Intel Celeron J6412 @ 2.00GHz,3870
AMD PRO A12-8870,3869
Intel Core i5-2400 @ 3.10GHz,3868
AMD Athlon 300U,3867
Intel Core i3-4370 @ 3.80GHz,3867
AMD Ryzen Embedded R2312,3865
Intel Atom x6425E @ 2.00GHz,3858
Intel Core i7-2675QM @ 2.20GHz,3856
Intel Xeon E3-1220 @ 3.10GHz,3847
Intel Core i7-2840QM @ 2.40GHz,3842
Intel Xeon E3-1265L @ 2.40GHz,3841
Intel Core i5-7360U @ 2.30GHz,3840
Intel Pentium Gold G5600 @ 3.90GHz,3840
Intel Xeon E5-2603 v3 @ 1.60GHz,3834
Intel Pentium Gold G5500 @ 3.80GHz,3823
AMD Ryzen Embedded R1505G,3813
AMD Ryzen 3 3250U,3808
Intel Core i5-6287U @ 3.10GHz,3799
AMD Athlon X4 845,3797
Intel Core i5-2380P @ 3.10GHz,3797
Intel Core i7-7560U @ 2.40GHz,3792
Intel Core i3-8145U @ 2.10GHz,3791
Intel Xeon E5630 @ 2.53GHz,3790
AMD Ryzen 3 3200U,3783
Intel Xeon E5640 @ 2.67GHz,3782
Intel Core i5-3335S @ 2.70GHz,3778
AMD Phenom II X6 1090T,3774
Intel Core i3-7100T @ 3.40GHz,3760
Intel Pentium Gold G5420 @ 3.80GHz,3757
Intel Pentium G4620 @ 3.70GHz,3754
AMD PRO A10-8850B,3752
Intel Core i5-7287U @ 3.30GHz,3743
Intel Core i7-2670QM @ 2.20GHz,3742
Intel Pentium Gold G5400 @ 3.70GHz,3735
Intel Xeon E5-1607 @ 3.00GHz,3731
AMD Opteron 3280,3723
Intel Xeon L5638 @ 2.00GHz,3707
AMD PRO A12-9800,3705
Intel Core i7-7600U @ 2.80GHz,3698
Intel Pentium Gold G6505T @ 3.60GHz,3698
AMD Opteron 6174,3697
AMD Athlon PRO 200GE,3693
AMD Ryzen 3 2200U,3690
AMD FX-6100 Six-Core,3689
Intel Core i5-2320 @ 3.00GHz,3676
Intel Core i7-6567U @ 3.30GHz,3662
Intel Core i5-2310 @ 2.90GHz,3660
AMD Athlon X4 880K,3659
Intel Core i5-7300U @ 2.60GHz,3654
AMD PRO A10-9700,3652
Intel Core i3-6100T @ 3.20GHz,3647
Intel Core i7-7500U @ 2.70GHz,3645
Intel Core i5-4460T @ 1.90GHz,3644
Intel Core i3-4360 @ 3.70GHz,3638
Intel Core i5-7267U @ 3.10GHz,3620
AMD A12-9800,3611
Intel Pentium G4600 @ 3.60GHz,3611
Intel Xeon W3580 @ 3.33GHz,3609
Intel Core i7-6660U @ 2.40GHz,3606
Intel Pentium Gold G5600T @ 3.30GHz,3601
AMD Athlon X4 950,3596
Intel Xeon E5620 @ 2.40GHz,3592
Intel Core i3-4170 @ 3.70GHz,3586
AMD PRO A10-8770,3574
AMD Opteron 6176 SE,3564
Intel Core i7-2630QM @ 2.00GHz,3559
Intel Core i3-1000NG4 @ 1.10GHz,3554
Intel Core i3-4350 @ 3.60GHz,3548
AMD A10-9700,3547
Intel Core i3-8130U @ 2.20GHz,3547
AMD A8-7680,3546
Intel Pentium Gold G6400T @ 3.40GHz,3545
Intel Core i7-6650U @ 2.20GHz,3542
AMD A10-7890K,3539
Intel Pentium G4560 @ 3.50GHz,3538
Intel Core i3-4160 @ 3.60GHz,3519
Intel Xeon E5-2418L @ 2.00GHz,3518
Intel Core i3-4330 @ 3.50GHz,3515
AMD Ryzen Embedded V1202B,3512
Intel Xeon E5-2407 v2 @ 2.40GHz,3504
Intel Core i7-975 @ 3.33GHz,3494
AMD Opteron 4365 EE,3485
AMD Opteron 6164 HE,3478
AMD Athlon X4 970,3472
AMD A12-9800E,3471
AMD A10-7870K,3465
Intel Xeon E5-1603 @ 2.80GHz,3463
Intel Core i3-4340 @ 3.60GHz,3460
AMD A10 PRO-7850B APU,3459
Intel Core i7-2635QM @ 2.00GHz,3459
Intel Core i7-6498DU @ 2.50GHz,3454
Intel Xeon X5698 @ 4.40GHz,3447
AMD Opteron X3421 APU,3440
Intel Core i5-2300 @ 2.80GHz,3439
AMD A10-8850,3438
AMD Phenom II X6 1075T,3438
AMD Athlon X4 860K,3434
Intel Core i3-7100H @ 3.00GHz,3430
Intel Core i7-6600U @ 2.60GHz,3428
AMD Embedded R-Series RX-418GD Radeon R6,3426
Intel Core i7-965 @ 3.20GHz,3424
AMD A8-7500,3422
AMD Athlon X4 870K,3410
Intel Pentium Gold G5420T @ 3.20GHz,3408
Intel Pentium Silver N5020 @ 1.10GHz,3404
AMD A10-7850K APU,3401
AMD Opteron 4226,3400
Intel Core i3-4150 @ 3.50GHz,3396
Intel Xeon E5-4603 @ 2.00GHz,3391
Intel Core i5-2500S @ 2.70GHz,3390
AMD Phenom II X6 1065T,3387
Intel Core i5-L16G7 @ 1.40GHz,3386
Intel Core i5-7200U @ 2.50GHz,3383
AMD Opteron 6136,3381
Intel Core i5-4340M @ 2.90GHz,3376
Intel Xeon W3565 @ 3.20GHz,3370
AMD FX-B4150 Quad-Core,3369
Intel Xeon E5-2609 v2 @ 2.50GHz,3369
Intel Core i3-7167U @ 2.80GHz,3368
Intel Xeon W5580 @ 3.20GHz,3368
AMD Athlon X4 850,3366
Intel Core i3-4370T @ 3.30GHz,3361
Intel Core i7-960 @ 3.20GHz,3347
Intel Xeon Platinum 8575C,3342
Intel Xeon W5590 @ 3.33GHz,3342
Intel Pentium Gold G6405T @ 3.50GHz,3341
Intel Core i5-6267U @ 2.90GHz,3338
AMD Phenom II X6 1405T,3335
AMD FX-9830P,3332
Intel Core i7-6560U @ 2.20GHz,3330
AMD Phenom II X6 1055T,3330
AMD FX-4150 Quad-Core,3327
AMD PRO A8-9600,3322
AMD FX-4350 Quad-Core,3321
Intel Core i7-880 @ 3.07GHz,3319
AMD Athlon X4 840,3318
Intel Core i3-4130 @ 3.40GHz,3316
Intel Core i3-6100E @ 2.70GHz,3315
AMD A8-9600,3312
Intel Pentium Gold G5500T @ 3.20GHz,3311
Intel Xeon X5570 @ 2.93GHz,3310
AMD A10 PRO-7800B APU,3303
AMD Embedded R-Series RX-421BD,3302
Intel Celeron N5100 @ 1.10GHz,3301
Intel Xeon L5609 @ 1.87GHz,3298
Intel Core i3-10110Y @ 1.00GHz,3297
AMD Athlon Gold 3150C,3292
Intel Celeron 6600HE @ 2.60GHz,3286
Intel Core i3-4360T @ 3.20GHz,3286
AMD A10-7860K,3282
Intel Xeon Platinum 8475B,3280
Intel Core i7-6500U @ 2.50GHz,3276
AMD Ryzen Embedded R1600,3276
AMD Opteron 4386,3273
Intel Xeon X3480 @ 3.07GHz,3273
Intel Xeon X3470 @ 2.93GHz,3269
Intel Xeon W3570 @ 3.20GHz,3267
Intel Core i3-6167U @ 2.70GHz,3255
Intel Pentium Silver J5040 @ 2.00GHz,3255
Intel Core i5-4400E @ 2.70GHz,3251
Intel Core i3-4570T @ 2.90GHz,3244
Intel Pentium D1508 @ 2.20GHz,3240
Intel Xeon W3550 @ 3.07GHz,3232
Intel Core i5-6300U @ 2.40GHz,3231
AMD A10-9700E,3229
AMD A10-8750,3228
AMD FX-870K Quad Core,3227
Intel Core i5-2405S @ 2.50GHz,3224
Intel Core i7-2715QE @ 2.10GHz,3221
Intel Core i5-4570T @ 2.90GHz,3220
Intel Core i7-4610M @ 3.00GHz,3220
Intel Core i7-950 @ 3.07GHz,3219
AMD A8-7600 APU,3219
Intel Core i3-4170T @ 3.20GHz,3218
AMD A10-7800 APU,3210
AMD PRO A8-8650B,3208
AMD A10-7700K APU,3207
AMD Phenom II X6 1045T,3200
Intel Core i5-6260U @ 1.80GHz,3198
Intel Atom x6427FE @ 1.90GHz,3196
AMD A10-6800K APU,3194
AMD A8-7670K,3192
Intel Core i7-4600M @ 2.90GHz,3191
Intel Core i5-4330M @ 2.80GHz,3190
AMD PRO A12-9800E,3175
Intel Pentium Gold G5400T @ 3.10GHz,3172
Intel Atom C1110,3170
Intel Core i5-2400S @ 2.50GHz,3155
Intel Xeon Gold 6262V @ 1.90GHz,3155
AMD Ryzen 3 3250C,3153
Intel Core i3-6100TE @ 2.70GHz,3152
AMD FX-4320,3150
Intel Core i3-4350T @ 3.10GHz,3142
Intel Core i7-870 @ 2.93GHz,3138
AMD Athlon Silver 7120U,3126
Intel Xeon X5560 @ 2.80GHz,3124
AMD A8-7650K,3123
AMD FX-4200 Quad-Core,3119
Intel Core i3-4330T @ 3.00GHz,3115
Intel Core i5-6198DU @ 2.30GHz,3115
Intel Core i3-4160T @ 3.10GHz,3113
Intel Core i5-5287U @ 2.90GHz,3109
Intel Xeon W3540 @ 2.93GHz,3109
AMD A10-6800B APU,3106
Intel Core i7-4578U @ 3.00GHz,3106
AMD A10-6700 APU,3105
Intel Pentium Silver J5005 @ 1.50GHz,3103
Intel Core i7-5557U @ 3.10GHz,3102
Intel Core i5-6360U @ 2.00GHz,3102
Intel Core i7-875K @ 2.93GHz,3100
AMD FX-4330,3098
Intel Core i5-4310M @ 2.70GHz,3096
AMD A10-6790K APU,3089
Intel Core i5-4210H @ 2.90GHz,3078
Intel Core i5-4200H @ 2.80GHz,3075
Intel Core i5-4570TE @ 2.70GHz,3074
Intel Xeon W3530 @ 2.80GHz,3071
Intel Core i3-9100HL @ 1.60GHz,3065
Intel Pentium G4600T @ 3.00GHz,3062
AMD Opteron 2435,3061
Intel Core i5-24050S @ 2.50GHz,3061
AMD FX-770K Quad-Core,3060
AMD Opteron X3418 APU,3043
Intel Core i3-6100H @ 2.70GHz,3041
AMD PRO A10-8770E,3036
Intel Core i7-5600U @ 2.60GHz,3036
AMD A10-5800B APU,3034
AMD FX-4170 Quad-Core,3034
Intel Pentium Silver N6000 @ 1.10GHz,3029
Intel Xeon X5550 @ 2.67GHz,3027
AMD Embedded R-Series RX-421ND,3024
AMD PRO A12-8870E,3023
Intel Core i3-7130U @ 2.70GHz,3022
Intel Xeon L5630 @ 2.13GHz,3018
Intel Pentium GOLD 6500Y @ 1.10GHz,3015
Intel Core i7-5650U @ 2.20GHz,3010
AMD A8-6600K APU,3004
Intel Core i5-3470T @ 2.90GHz,3001
AMD Phenom II X6 1035T,3001
Intel Core i7-860 @ 2.80GHz,3000
AMD A8-8650,2996
Intel Core i5-6200U @ 2.30GHz,2996
AMD Athlon Silver 3050U,2993
Intel Atom x6425RE @ 1.90GHz,2990
AMD PRO A8-8670E,2989
AMD Opteron 4174 HE,2986
AMD PRO A10-9700E,2985
AMD FX-4300 Quad-Core,2982
Intel Core i7-3540M @ 3.00GHz,2980
AMD FX-670K Quad-Core,2980
AMD A12-9730P,2980
Intel Pentium G4560T @ 2.90GHz,2980
Intel Xeon E5-2637 @ 3.00GHz,2978
Intel Xeon X3460 @ 2.80GHz,2972
AMD Athlon X4 760K Quad Core,2971
Intel Core i5-4300M @ 2.60GHz,2969
Intel Core i7-930 @ 2.80GHz,2964
AMD A10-5800K APU,2962
AMD A8 PRO-7600B APU,2960
Intel Celeron J4125 @ 2.00GHz,2956
AMD Ryzen Embedded R1305G,2953
Intel Core i7-4560U @ 1.60GHz,2950
Intel Core i5-4308U @ 2.80GHz,2949
Intel Core i7-940 @ 2.93GHz,2947
AMD A10-9630P,2940
Intel Core i7-4558U @ 2.80GHz,2939
AMD Athlon Silver 3050e,2939
AMD Opteron 2431,2936
AMD PRO A10-8750B,2935
AMD Opteron 6128 HE,2932
Intel Core i5-2500T @ 2.30GHz,2929
Intel Xeon W3520 @ 2.67GHz,2924
Intel Core i5-3380M @ 2.90GHz,2916
Intel Xeon X5492 @ 3.40GHz,2912
Intel Xeon X5470 @ 3.33GHz,2910
Intel N50,2907
Intel Celeron J4105 @ 1.50GHz,2903
AMD Athlon X4 830,2901
AMD A8-6500B APU,2893
Intel Core i3-4130T @ 2.90GHz,2886
Intel Core i5-4210M @ 2.60GHz,2883
AMD Athlon Silver 3050C,2879
Intel Core i3-10100Y @ 1.30GHz,2873
Intel Xeon E5-2403 v2 @ 1.80GHz,2873
Intel Core i3-4150T @ 3.00GHz,2872
AMD Opteron 4184,2872
Intel Core i5-3360M @ 2.80GHz,2868
Intel Core i7-3520M @ 2.90GHz,2866
Intel Core i7-5550U @ 2.00GHz,2864
AMD Athlon X4 750K Quad Core,2861
Intel Core m3-8100Y @ 1.10GHz,2858
Intel Xeon E5-2609 @ 2.40GHz,2858
AMD FX-7600P APU,2856
AMD A8-5600K APU,2855
Intel Xeon X3450 @ 2.67GHz,2853
AMD FX-8800P,2851
Intel Core i7-920 @ 2.67GHz,2839
AMD Phenom II X4 980,2839
AMD Opteron 6128,2826
AMD A8-6500 APU,2824
Intel Core i5-4278U @ 2.60GHz,2821
Intel Core i5-5257U @ 2.70GHz,2814
Intel Core i5-4200M @ 2.50GHz,2805
Intel Pentium G4500 @ 3.50GHz,2797
AMD RX-427BB,2789
Intel Atom C2750 @ 2.40GHz,2787
Intel Celeron G5925 @ 3.60GHz,2787
Intel Core i7-5500U @ 2.40GHz,2786
Intel Celeron G5905 @ 3.50GHz,2784
Intel Xeon E5540 @ 2.53GHz,2783
Intel Core2 Extreme X9775 @ 3.20GHz,2780
Intel Xeon X3440 @ 2.53GHz,2773
Intel Core i3-6157U @ 2.40GHz,2770
Intel Core i7-870S @ 2.67GHz,2765
Intel Xeon X5482 @ 3.20GHz,2755
Intel Core 860 @ 2.80GHz,2754
Intel Core i5-8210Y @ 1.60GHz,2749
AMD A10-5700 APU,2742
AMD Phenom II X4 970,2739
Intel Xeon E5-2603 v2 @ 1.80GHz,2735
Intel Core m3-7Y32 @ 1.10GHz,2733
Intel Core i5-5300U @ 2.30GHz,2732
Intel Core i3-7100U @ 2.40GHz,2725
Intel Xeon E5530 @ 2.40GHz,2723
Intel Core i7-4600U @ 2.10GHz,2720
AMD A6-9400,2717
Intel Celeron G4950 @ 3.30GHz,2714
AMD 3015e,2709
Intel Pentium G4520 @ 3.60GHz,2707
AMD Opteron 3350 HE,2699
AMD FX-4130 Quad-Core,2696
Intel Core i5-3340M @ 2.70GHz,2695
AMD PRO A12-9800B,2691
AMD Phenom II X4 B65,2690
Intel Core2 Extreme X9770 @ 3.20GHz,2689
Intel Celeron J4115 @ 1.80GHz,2687
Intel Xeon E5607 @ 2.27GHz,2686
Intel Core i5-4402E @ 1.60GHz,2681
Intel Core i3-4110M @ 2.60GHz,2678
Intel Core i5-3610ME @ 2.70GHz,2666
Intel Core i5-3320M @ 2.60GHz,2662
Intel Xeon E5-2407 @ 2.20GHz,2658
AMD A12-9720P,2656
Intel Core i3-3250T @ 3.00GHz,2650
Intel Core i5-7Y54 @ 1.20GHz,2649
AMD RX-425BB,2648
Intel Core i5-680 @ 3.60GHz,2647
Intel Core i7-3687U @ 2.10GHz,2645
AMD Phenom II X4 965,2644
Intel Celeron G5900 @ 3.40GHz,2643
Intel Core i5-4288U @ 2.60GHz,2642
Intel Core i3-6100U @ 2.30GHz,2634
Intel Core i5-4258U @ 2.40GHz,2633
Intel Core i5-760 @ 2.80GHz,2633
AMD Phenom II X4 B60,2627
AMD Athlon X4 740 Quad Core,2626
AMD Athlon X4 750 Quad Core,2625
Intel Core i7-7Y75 @ 1.30GHz,2621
Intel Pentium Silver N5000 @ 1.10GHz,2619
AMD FX-4100 Quad-Core,2618
AMD Athlon PRO 3045B,2618
AMD Opteron 6172,2615
AMD A8-5500B APU,2611
AMD A8-5500 APU,2608
AMD Athlon II X4 559,2602
Intel Core i3-7102E @ 2.10GHz,2599
Intel Pentium Silver N5030 @ 1.10GHz,2595
Intel Core i7-4510U @ 2.00GHz,2595
Intel Celeron G4930 @ 3.20GHz,2594
Intel Core i3-5157U @ 2.50GHz,2593
Intel Core i5-7Y57 @ 1.20GHz,2592
Intel Core m3-7Y30 @ 1.00GHz,2585
Intel Core i3-7020U @ 2.30GHz,2583
AMD FX-7600P,2582
Intel Xeon E5450 @ 3.00GHz,2580
AMD PRO A12-8800B,2580
Intel Pentium G4400 @ 3.30GHz,2579
Intel Celeron G5920 @ 3.50GHz,2577
Intel Xeon X5460 @ 3.16GHz,2572
Intel Core i5-5350U @ 1.80GHz,2570
Intel Xeon X3380 @ 3.16GHz,2568
AMD Athlon II X4 557,2567
AMD PRO A12-8830B,2564
Intel Core i5-3230M @ 2.60GHz,2561
AMD Phenom II X4 B55,2549
AMD Phenom II X4 B97,2548
AMD PRO A10-9700B,2545
AMD FX-9800P,2543
AMD A10-9620P,2538
AMD Phenom II X4 B99,2536
AMD Phenom II X4 975,2536
Intel Core i5-670 @ 3.47GHz,2533
Intel Xeon E5520 @ 2.27GHz,2533
Intel Core i5-750 @ 2.67GHz,2532
Intel Pentium N6415 @ 1.20GHz,2530
AMD Athlon II X4 555,2526
Intel Core i5-4310U @ 2.00GHz,2525
Intel Xeon L5530 @ 2.40GHz,2522
Intel Core i3-4100M @ 2.50GHz,2519
AMD Phenom II X4 955,2518
Intel Core i5-5200U @ 2.20GHz,2500
AMD Athlon II X4 651 Quad-Core,2500
Intel Celeron G4920 @ 3.20GHz,2500
Intel Core i5-4300U @ 1.90GHz,2495
Intel Xeon L7455 @ 2.13GHz,2494
Intel Core i5-2390T @ 2.70GHz,2493
Intel Celeron N4120 @ 1.10GHz,2487
Intel Core i7-4500U @ 1.80GHz,2487
Intel Core2 Quad Q9650 @ 3.00GHz,2479
AMD Opteron 8439 SE,2479
Intel Core i7-8500Y @ 1.50GHz,2474
Intel Core i5-661 @ 3.33GHz,2470
Intel Xeon L3426 @ 1.87GHz,2470
Intel Celeron 7305,2470
Intel Core i7-2640M @ 2.80GHz,2467
Intel Xeon X3370 @ 3.00GHz,2465
Intel Core i5-3210M @ 2.50GHz,2464
AMD A8-8600P,2464
Intel Core i7-4650U @ 1.70GHz,2461
Intel Xeon D-1602 @ 2.50GHz,2459
Intel Celeron N4100 @ 1.10GHz,2457
AMD Athlon II X4 650,2457
Intel Core i7-4610Y @ 1.70GHz,2446
Intel Core i3-3250 @ 3.50GHz,2442
AMD 3020e,2435
Intel Core i5-5250U @ 1.60GHz,2435
Intel Atom C3558 @ 2.20GHz,2431
AMD A12-9700P,2428
Intel Pentium G3470 @ 3.60GHz,2428
Intel Core i5-4350U @ 1.40GHz,2425
Intel Core i7-2620M @ 2.70GHz,2423
AMD Athlon II X4 553,2418
Intel Core i7-3667U @ 2.00GHz,2416
AMD Phenom II X4 840,2414
Intel Xeon L3360 @ 2.83GHz,2412
Intel Xeon X3360 @ 2.83GHz,2412
Intel Celeron 7305E,2404
Intel Xeon X5450 @ 3.00GHz,2404
Intel Core2 Extreme X9650 @ 3.00GHz,2404
Intel Pentium J4205 @ 1.50GHz,2404
AMD Phenom II X4 B95,2401
AMD Phenom II X4 850,2400
Intel Pentium G4500T @ 3.00GHz,2399
Intel Atom C2758 @ 2.40GHz,2397
Intel Core i5-2560M @ 2.70GHz,2397
Intel Celeron G4900 @ 3.10GHz,2397
Intel Core i5-660 @ 3.33GHz,2397
AMD Phenom II X4 945,2389
Intel Xeon E5440 @ 2.83GHz,2389
Intel Core i7-3517UE @ 1.70GHz,2384
AMD Opteron 4170 HE,2382
AMD Phenom II X4 B50,2379
AMD Phenom II X4 977,2377
AMD A8-3850 APU,2374
Intel Celeron G6900TE,2373
Intel Core i3-3245 @ 3.40GHz,2373
Intel Xeon E5-2403 @ 1.80GHz,2367
Intel Xeon E5606 @ 2.13GHz,2365
Intel Core i5-2540M @ 2.60GHz,2365
Intel Atom T5700 @ 1.70GHz,2363
AMD Phenom II X4 960T,2362
AMD Phenom II X4 840T,2360
Intel Celeron G3920 @ 2.90GHz,2358
Intel Xeon X3363 @ 2.83GHz,2358
AMD Phenom II X4 940,2358
AMD PRO A10-8730B,2355
Intel Pentium 6405U @ 2.40GHz,2353
Intel Core i7-3537U @ 2.00GHz,2352
Intel Core i3-6102E @ 1.90GHz,2349
Intel Core2 Extreme X9750 @ 3.16GHz,2348
AMD Athlon II X4 645,2348
Intel Core m5-6Y57 @ 1.10GHz,2346
Intel Pentium G4400T @ 2.90GHz,2344
AMD Opteron 4130,2342
Intel Core2 Quad Q9550 @ 2.83GHz,2338
AMD A10-9600P,2332
Intel Xeon X5365 @ 3.00GHz,2331
Intel Core m7-6Y75 @ 1.20GHz,2329
AMD A8-3870K APU,2328
Intel Core i3-3240 @ 3.40GHz,2324
Intel Celeron G3950 @ 3.00GHz,2322
Intel Xeon E5-2603 @ 1.80GHz,2319
AMD Phenom II X4 B35,2319
AMD Athlon II X4 641 Quad-Core,2313
Intel Core i5-4210U @ 1.70GHz,2307
Intel Core i5-3437U @ 1.90GHz,2307
Intel Core i3-2140 @ 3.50GHz,2307
Intel Xeon X3430 @ 2.40GHz,2305
Intel Core2 Extreme Q6850 @ 3.00GHz,2304
Intel Core i5-4260U @ 1.40GHz,2304
AMD Phenom II X4 B70,2303
AMD A10-6700T APU,2299
Intel Celeron G4930T @ 3.00GHz,2297
Intel Xeon E3-1220L @ 2.20GHz,2295
AMD PRO A8-9600B,2292
Intel Xeon E5472 @ 3.00GHz,2286
Intel Pentium 1403 v2 @ 2.60GHz,2284
AMD Opteron 3260 HE,2283
Intel Xeon X3353 @ 2.66GHz,2283
Intel Core i7-860S @ 2.53GHz,2280
AMD Athlon X4 730,2278
Intel Core m5-6Y54 @ 1.10GHz,2278
Intel Core i3-6006U @ 2.00GHz,2276
Intel Xeon L5520 @ 2.27GHz,2274
Intel Core i7-4550U @ 1.50GHz,2272
AMD Phenom II X4 925,2272
AMD Phenom II X4 B45,2267
Intel Celeron N4505 @ 2.00GHz,2266
Intel Core i3-3220 @ 3.30GHz,2265
Intel Xeon X3350 @ 2.66GHz,2263
Intel Xeon L5430 @ 2.66GHz,2260
Intel Celeron J3455 @ 1.50GHz,2256
Intel Pentium 5405U @ 2.30GHz,2255
Intel Celeron G3930 @ 2.90GHz,2251
AMD Athlon II X4 638 Quad-Core,2250
Intel Core i5-650 @ 3.20GHz,2250
Intel Xeon E3-1220L V2 @ 2.30GHz,2248
AMD A10-8700P,2245
AMD Athlon II X4 640,2245
Intel Celeron N6211 @ 1.20GHz,2245
Intel Pentium 4417U @ 2.30GHz,2242
Intel Core i3-3225 @ 3.30GHz,2241
Intel Core i5-3427U @ 1.80GHz,2241
Intel Celeron G4900T @ 2.90GHz,2239
AMD Phenom II X4 B40,2238
Intel Core i7-3555LE @ 2.50GHz,2238
Intel Xeon E5430 @ 2.66GHz,2238
AMD Athlon II X4 635,2237
Intel Core i5-2520M @ 2.50GHz,2237
Intel Pentium 4415U @ 2.30GHz,2236
Intel Pentium G3460 @ 3.50GHz,2231
Intel Core i3-3210 @ 3.20GHz,2227
Intel Core2 Quad Q9500 @ 2.83GHz,2224
Intel Celeron G3930TE @ 2.70GHz,2218
Intel Core i5-8200Y @ 1.30GHz,2215
AMD PRO A10-8700B,2212
Intel Core i7-940XM @ 2.13GHz,2209
Intel Core i3-5020U @ 2.20GHz,2208
Intel Celeron G5905T @ 3.30GHz,2206
AMD Phenom II X4 973,2204
Intel Pentium G3440 @ 3.30GHz,2202
Intel Xeon X5472 @ 3.00GHz,2197
Intel Celeron J3455E @ 1.50GHz,2193
Intel Core i3-21050 @ 3.10GHz,2193
Intel Pentium G4400TE @ 2.40GHz,2190
AMD PRO A8-8600B,2190
Intel Core i3-5010U @ 2.10GHz,2188
Intel Core2 Quad Q9450 @ 2.66GHz,2186
Intel Core i5-4200U @ 1.60GHz,2181
Intel Pentium G3450 @ 3.40GHz,2178
Intel Xeon E5462 @ 2.80GHz,2178
Intel Atom C2750 @ 2.41GHz,2174
AMD A6-3670 APU,2174
AMD A8-3820 APU,2174
Intel Core2 Quad Q9505 @ 2.83GHz,2171
Intel Pentium N4200 @ 1.10GHz,2171
Intel Core m3-6Y30 @ 0.90GHz,2170
AMD Phenom II X4 B93,2159
AMD A8-7690K,2157
AMD Athlon II X4 630,2157
AMD Phenom II X4 920,2156
Intel Celeron G5900T @ 3.20GHz,2155
AMD A8-7200P,2154
AMD FirePro A320 APU,2153
Intel Core i5-4250U @ 1.30GHz,2153
Intel Core2 Extreme Q6800 @ 2.93GHz,2145
Intel Celeron G3900 @ 2.80GHz,2144
Intel Xeon L5420 @ 2.50GHz,2143
Intel Core2 Quad Q9400 @ 2.66GHz,2134
AMD Phenom II X4 910e,2131
Intel Pentium G3430 @ 3.30GHz,2127
AMD Athlon II X4 631 Quad-Core,2122
AMD Athlon X4 640,2115
Intel Xeon X3330 @ 2.66GHz,2111
AMD Phenom II X4 B25,2108
Intel Pentium G3440T @ 2.80GHz,2107
Intel Pentium 4405U @ 2.10GHz,2107
AMD A10-7400P,2100
AMD 3015Ce,2099
Intel Atom x7-E3950 @ 1.60GHz,2096
Intel Core2 Quad Q6700 @ 2.66GHz,2095
Intel Core i5-3337U @ 1.80GHz,2094
Intel Pentium G2140 @ 3.30GHz,2092
Intel Pentium G3260 @ 3.30GHz,2092
Intel Core i3-2125 @ 3.30GHz,2090
Intel Core i7-3517U @ 1.90GHz,2087
AMD Phenom II X4 820,2081
Intel Pentium G3258 @ 3.20GHz,2081
Intel Celeron 6305 @ 1.80GHz,2080
AMD Opteron 1389,2079
AMD A6-3650 APU,2079
AMD Athlon II X4 655,2078
Intel Core i5-2435M @ 2.40GHz,2077
Intel Core i5-2450M @ 2.50GHz,2077
AMD Opteron 2384,2074
AMD Phenom II X4 830,2072
Intel Core i7-610E @ 2.53GHz,2071
Intel Core i7-640M @ 2.80GHz,2070
Intel Core2 Quad Q8400 @ 2.66GHz,2068
AMD Opteron 3250 HE,2061
AMD Opteron 4162 EE,2058
AMD A10-5750M APU,2053
Intel Xeon X3230 @ 2.66GHz,2052
AMD A8-3800 APU,2049
Intel Core i3-3240T @ 2.90GHz,2046
Intel Core i3-2130 @ 3.40GHz,2043
Intel Celeron G3930T @ 2.70GHz,2040
Intel Core M-5Y71 @ 1.20GHz,2037
Intel Celeron G3900E @ 2.40GHz,2034
Intel Xeon X5355 @ 2.66GHz,2033
Intel Core i3-2102 @ 3.10GHz,2029
Intel Xeon E7- 2830 @ 2.13GHz,2027
Intel Xeon E5420 @ 2.50GHz,2022
Intel Core i3-4330TE @ 2.40GHz,2022
Intel Core i3-5005U @ 2.00GHz,2022
Intel Celeron G3900T @ 2.60GHz,2020
AMD Athlon II X4 620,2019
Intel Core i5-655K @ 3.20GHz,2017
Intel Pentium G3450T @ 2.90GHz,2016
Intel Core i5-3317U @ 1.70GHz,2015
AMD Phenom II X4 810,2013
Intel Core2 Extreme Q9200 @ 2.40GHz,2011
Intel Celeron 6305E @ 1.80GHz,2008
AMD Athlon II X3 460,2008
Intel Xeon E5410 @ 2.33GHz,2007
Intel Core M-5Y51 @ 1.10GHz,2002
AMD Athlon II X4 615e,2000
Intel Core i7-2655LE @ 2.20GHz,1999
Intel Core i5-2430M @ 2.40GHz,1998
AMD A10-5757M APU,1998
Intel Celeron N6210 @ 1.20GHz,1995
AMD Opteron 2427,1995
Intel Core2 Extreme Q9300 @ 2.53GHz,1993
Intel Pentium G3250 @ 3.20GHz,1991
Intel Celeron N3450 @ 1.10GHz,1987
AMD Athlon II X4 605e,1986
Intel Core2 Quad Q9300 @ 2.50GHz,1986
Intel Xeon X3320 @ 2.50GHz,1986
Intel Core i7-620M @ 2.67GHz,1977
Intel Xeon X3220 @ 2.40GHz,1973
Intel Core i7-3689Y @ 1.50GHz,1967
AMD FX-7500 APU,1967
AMD Athlon II X4 610e,1964
Intel Celeron N4500 @ 1.10GHz,1962
Intel Core i3-4025U @ 1.90GHz,1961
AMD Phenom II X4 805,1959
Intel Core i3-2120 @ 3.30GHz,1956
Intel Atom E3900 @ 1.60GHz,1953
Intel Atom x5-E3940 @ 1.60GHz,1953
