Model,Performance
AMD EPYC 8024P,20556
Intel Core i9-11900H @ 2.50GHz,20539
Intel Xeon W-2150B @ 3.00GHz,20510
Intel Core i5-13400T,20489
Intel Core i7-1280P,20456
AMD Ryzen 7 PRO 4750G,20451
Intel Xeon Gold 6226 @ 2.70GHz,20429
Intel Core i7-11850H @ 2.50GHz,20420
Intel Core i7-11800H @ 2.30GHz,20416
Intel Xeon E5-2699 v3 @ 2.30GHz,20387
AMD Ryzen 5 5600GT,20344
AMD Ryzen 5 8640HS,20336
Intel Xeon E5-4667 v4 @ 2.20GHz,20319
Intel Xeon E5-2686 v4 @ 2.30GHz,20289
Intel Xeon D-1747NTE @ 2.50GHz,20279
AMD Ryzen 5 PRO 5655G,20261
AMD Ryzen 5 5500GT,20232
Intel Core i9-9820X @ 3.30GHz,20229
AMD Ryzen Embedded V3C48,20203
Intel Core i5-12490F,20194
AMD Ryzen 7 4700G,20150
Intel Core i7-1370P,20145
Intel Core i5-1250P,20144
AMD Ryzen 5 8500GE,20142
Intel Xeon W-1290 @ 3.20GHz,20071
Intel Core i5-1340PE,20041
AMD Ryzen 7 5800HS,20036
Intel Xeon Gold 6144 @ 3.50GHz,19993
Intel CoreT i5-1350P,19976
Intel Core i9-10900F @ 2.80GHz,19934
Intel Core Ultra 5 228V,19930
Intel Core i5-12500,19912
AMD Ryzen 5 5600G,19871
AMD Ryzen 7 4700GE,19831
AMD Ryzen 7 PRO 4700G,19786
Intel Core i9-10900 @ 2.80GHz,19776
Intel Xeon W-1350P @ 4.00GHz,19710
Intel Core i7-11700 @ 2.50GHz,19679
Intel Core Ultra 7 258V,19652
Intel Xeon E-2386G @ 3.50GHz,19640
Intel Core i5-11600KF @ 3.90GHz,19634
Intel Xeon W-11865MRE @ 2.60GHz,19589
Intel Core i5-11600K @ 3.90GHz,19584
Intel Core Ultra 9 288V,19542
AMD EPYC 3451,19532
Intel Core i5-12400F,19525
Intel Xeon E5-2690 v4 @ 2.60GHz,19495
Intel Core i9-9900KS @ 4.00GHz,19472
Intel Core i9-10900E @ 2.80GHz,19469
Intel Xeon W-2245 @ 3.90GHz,19467
Intel Core Ultra 7 256V,19464
AMD EPYC 7252,19411
AMD Ryzen 5 5500,19395
Intel Xeon D-2183IT @ 2.20GHz,19377
Intel Xeon Gold 6137 @ 3.90GHz,19365
AMD Ryzen 7 Pro 7735U,19355
Intel Core i5-12400,19354
Intel Xeon Silver 4309Y @ 2.80GHz,19237
Intel Xeon Gold 6126 @ 2.60GHz,19189
AMD Ryzen 9 4900H,19156
Intel Xeon D-2752TER @ 1.80GHz,19102
Intel Xeon E5-2695 v4 @ 2.10GHz,19071
Intel Core i5-1350P,19065
Intel Core i7-1360P,19062
